#Sequence ID	name	date	primer	latlon	latitude	longitude	locality	country	note	address	altitude	sample_number	location	type	sex	site	yearmonth	source	volunteer	sampletype	sampleid	notes	sample_date	method	lat_lon
San_Diego_20170707_USA_1	VolunteerD_20170707	20170707	C	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger										D	Daily	DD10				
Roma_20130101_Italy_541	SRA Sample SRR4074260 536	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_341	SRA Sample ERR321523 73	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_716	SRA Sample SRR4074260 711	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_874	SRA Sample SRR4074332 134	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
San_Diego_20170704_USA_1	VolunteerD_20170704	20170704	C	32.777199,-117.070971	32.777199	-117.070971	San Diego	USA	base called by phred, consensus by merger										D	Daily	DD7				
Baltimore_20140608_USA_36	SRA Sample SRR4435814 34	20140608		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Kjellerup_20090101_Denmark_373	SRA Sample ERR321523 105	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_815	SRA Sample SRR4074332 75	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_1001	SRA Sample SRR4074332 261	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Ghan_20120101_Australia_2	SRA Sample ERR505085 1	20120101		-25.274398,133.775136	-25.274398	133.775136	Ghan	Australia																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_654	SRA Sample SRR4074260 649	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_89	SRA Sample ERR321530 32	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Houston_20130101_USA_25	SRA Sample SRR4032471 2	20130101		29.77152983140312,-95.2212444414063	29.77152983140312	-95.2212444414063	Houston	USA																haplotype called by gretel version 0.0.8	29.77152983140312 N 95.22124444140627 W
Lanzhou_Shi_20120101_China_48	SRA Sample ERR1018206 12	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_716	SRA Sample ERR321569 14	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Division_No_18_20101001_Canada_28	SRA Sample SRR1554403 28	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_503	SRA Sample ERR321275 15	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20140101_China_12	SRA Sample ERR1190968 2	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_779	SRA Sample SRR4074332 39	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20110101_China_217	SRA Sample ERR528336 1	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Ghan_20120101_Australia_18	SRA Sample ERR505085 17	20120101		-25.274398,133.775136	-25.274398	133.775136	Ghan	Australia																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_530	SRA Sample ERR321275 42	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20140101_China_14	SRA Sample ERR1190968 4	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
North_Kurdufan_00000000_Sudan_1	Cinek lab sample 285 C unknown	unknown		12.862807,30.217636	12.862807	30.217636	North Kurdufan	Sudan	Assembly of 4 reads: 285_C_intF.ab1 (reversed), 285_C_r.ab1, 285_C_f.ab1 (reversed), 285_C_intR.ab1						f										
Roma_20130101_Italy_749	SRA Sample SRR4074332 9	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Niederdorla_20100201_Germany_21	SRA Sample SRR2155368 17	20100201		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20140101_China_130	SRA Sample ERR1190855 5	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_501	SRA Sample ERR321275 13	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_512	SRA Sample SRR4074260 507	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_894	SRA Sample SRR4074332 154	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_239	SRA Sample ERR321591 32	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Rybienko_Stare_20160303_Poland_4	Decewicz Dziewit Primer C Wyszkow 20160303	20160303		52.577948,21.429024	52.577948	21.429024	Rybienko Stare	Poland		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland															
Xilinguole_Meng_20101001_China_16	SRA Sample SRR3993056 16	20101001		43.95,116.35	43.95	116.35	Xilinguole Meng	China																haplotype called by gretel version 0.0.8	43.95 N 116.35 E
Lanzhou_Shi_20110101_China_233	SRA Sample ERR527096 7	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Montreal_20101118_Canada_58	SRA Sample SRR2565925 58	20101118		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Kjellerup_20090101_Denmark_658	SRA Sample ERR525967 37	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_684	SRA Sample ERR321574 18	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20110101_China_21	SRA Sample ERR527073 3	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Division_No_18_20101001_Canada_40	SRA Sample SRR1554402 6	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20110101_China_207	SRA Sample ERR527135 168	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_43	SRA Sample SRR3160438 43	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Roma_20130101_Italy_144	SRA Sample SRR4074260 139	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_128	SRA Sample SRR3160438 128	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Kjellerup_20090101_Denmark_444	SRA Sample ERR525802 11	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_297	SRA Sample SRR4074260 292	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Courtaboeuf_Cedex_20050101_France_36	SRA Sample ERR479395 23	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	France																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_1109	SRA Sample SRR4074332 369	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_468	SRA Sample SRR4074260 463	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Ljubljana_20160125_Slovenia_1	38.Slovenia.Ljubljana.25-01-2016	20160125		46.0569465,14.5057515	46.0569465	14.5057515	Ljubljana	Slovenia														crAssphage_C 1-821 (66%) aligns to NODE_647_length_15330_cov_47.3448 821-1 with 96.955% identity			
Lanzhou_Shi_20120101_China_130	SRA Sample ERR1018235 11	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_154	SRA Sample ERR321483 13	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Montreal_20100325_Canada_76	SRA Sample SRR2566056 76	20100325		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Kjellerup_20090101_Denmark_725	SRA Sample ERR321569 23	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20110101_China_13	SRA Sample ERR527104 4	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Montreal_20100302_Canada_3	SRA Sample SRR2566040 3	20100302		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Kjellerup_20090101_Denmark_660	SRA Sample ERR525747 1	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_66	SRA Sample SRR3160438 66	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Roma_20130101_Italy_610	SRA Sample SRR4074260 605	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Division_No_18_20101001_Canada_52	SRA Sample SRR1554402 18	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_723	SRA Sample SRR4074260 718	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Xilinguole_Meng_20101001_China_8	SRA Sample SRR3993056 8	20101001		43.95,116.35	43.95	116.35	Xilinguole Meng	China																haplotype called by gretel version 0.0.8	43.95 N 116.35 E
Kjellerup_20090101_Denmark_53	SRA Sample ERR209515 8	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Sergelen_20130601_Mongolia_15	SRA Sample SRR3992985 6	20130601		47.55,106.80	47.55	106.80	Sergelen	Mongolia																haplotype called by gretel version 0.0.8	47.55 N 106.80 E
Dallas_20140616_USA_23	SRA Sample SRR3160438 23	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Centro_20160516_Mexico_1	Vinuesa lab primer C 20160516	20160516		18.8538889,-99.2242998	18.8538889	-99.2242998	Centro	Mexico	Collected in Morelos, Apatlaco River, Temixco																
Roma_20130101_Italy_863	SRA Sample SRR4074332 123	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Madrid_20090101_Spain_97	SRA Sample ERR209823 10	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_19	SRA Sample SRR3160438 19	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Montreal_20100325_Canada_123	SRA Sample SRR2566056 123	20100325		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Kjellerup_20090101_Denmark_409	SRA Sample ERR321293 1	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Evrange_20120921_Luxembourg_1	SRA Sample SRR3313062 1	20120921		49.5,6.2	49.5	6.2	Evrange	Luxembourg																haplotype called by gretel version 0.0.8	49.5 N 6.2 E
Roma_20130101_Italy_209	SRA Sample SRR4074260 204	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_239	SRA Sample SRR3160438 239	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Madrid_20090101_Spain_30	SRA Sample ERR414388 1	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Niederdorla_20100201_Germany_29	SRA Sample SRR2155368 25	20100201		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_211	SRA Sample SRR3160438 211	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Amman_20170421_Jordan_2	Mazankova primer C sample 223 20170421	20170421		31.9454,35.9284	31.9454	35.9284	Amman	Jordan				223													
Roma_20130101_Italy_1027	SRA Sample SRR4074332 287	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_712	SRA Sample SRR4074260 707	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Dallas_20140616_USA_165	SRA Sample SRR3160438 165	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Kjellerup_20090101_Denmark_50	SRA Sample ERR209515 5	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Encinitas_20160301_USA_2	Cardiff Primer C1 Site 2 20160301	20160301		33.016467,-117.273686	33.016467	-117.273686	Encinitas	USA		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077						2	201603								
Roma_20130101_Italy_857	SRA Sample SRR4074332 117	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_324	SRA Sample ERR321523 56	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20140101_China_40	SRA Sample ERR1190555 15	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Madrid_20090101_Spain_13	SRA Sample ERR209640 1	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_7	SRA Sample SRR4074260 2	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_469	SRA Sample ERR525802 36	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Evrange_20120921_Luxembourg_3	SRA Sample SRR3313062 3	20120921		49.5,6.2	49.5	6.2	Evrange	Luxembourg																haplotype called by gretel version 0.0.8	49.5 N 6.2 E
Roma_20130101_Italy_667	SRA Sample SRR4074260 662	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Courtaboeuf_Cedex_20050101_France_44	SRA Sample ERR480821 2	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	France																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20110101_China_142	SRA Sample ERR527135 103	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_542	SRA Sample ERR321275 54	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_1131	SRA Sample SRR4074296 2	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Ghan_20120101_Australia_7	SRA Sample ERR505085 6	20120101		-25.274398,133.775136	-25.274398	133.775136	Ghan	Australia																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_704	SRA Sample ERR321569 2	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20110101_China_57	SRA Sample ERR527135 18	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Niederdorla_20101101_Germany_7	SRA Sample SRR2155309 7	20101101		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Division_No_18_20101001_Canada_43	SRA Sample SRR1554402 9	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Montreal_20100325_Canada_42	SRA Sample SRR2566056 42	20100325		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Courtaboeuf_Cedex_20050101_France_76	SRA Sample ERR479386 9	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	France																haplotype called by gretel version 0.0.8	
Montreal_20100325_Canada_89	SRA Sample SRR2566056 89	20100325		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Lanzhou_Shi_20110101_China_135	SRA Sample ERR527135 96	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_97	SRA Sample ERR321530 40	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Evrange_20121018_Luxembourg_33	SRA Sample SRR3313045 33	20121018		49.5,6.2	49.5	6.2	Evrange	Luxembourg																haplotype called by gretel version 0.0.8	49.5 N 6.2 E
Roma_20130101_Italy_907	SRA Sample SRR4074332 167	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_774	SRA Sample SRR4074332 34	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_321	SRA Sample ERR321523 53	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Encinitas_20151209_USA_1	Edwards Primer C Site 2 20151209	20151209		33.016467,-117.273686	33.016467	-117.273686	Encinitas	USA		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 92007-7077															
Lanzhou_Shi_20110101_China_106	SRA Sample ERR527135 67	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_726	SRA Sample SRR4074260 721	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Niederdorla_20100501_Germany_19	SRA Sample SRR2155386 19	20100501		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_322	SRA Sample ERR321523 54	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Montreal_20100715_Canada_11	SRA Sample SRR2583972 4	20100715		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Lanzhou_Shi_20110101_China_133	SRA Sample ERR527135 94	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_148	SRA Sample ERR321483 7	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi_20120101_China_19	SRA Sample ERR1018213 7	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_438	SRA Sample SRR4074260 433	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_569	SRA Sample SRR4074260 564	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_1092	SRA Sample SRR4074332 352	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_584	SRA Sample SRR4074260 579	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Girona_20141125_Spain_2	SRA Sample SRR2097333 2	20141125		42.025312,2.831897	42.025312	2.831897	Girona	Spain																haplotype called by gretel version 0.0.8	42.025312 N 2.831897 E
Roma_20130101_Italy_558	SRA Sample SRR4074260 553	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Niederdorla_20100201_Germany_12	SRA Sample SRR2155368 8	20100201		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Houston_20130101_USA_7	SRA Sample SRR4032483 1	20130101		29.77152983140313,-95.2212444414063	29.77152983140313	-95.2212444414063	Houston	USA																haplotype called by gretel version 0.0.8	29.77152983140313 N 95.22124444140628 W
Lanzhou_Shi_20110101_China_227	SRA Sample ERR527096 1	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_118	SRA Sample ERR321530 61	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_668	SRA Sample ERR321574 2	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Baltimore_20140608_USA_19	SRA Sample SRR4435814 17	20140608		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Montreal_20100325_Canada_122	SRA Sample SRR2566056 122	20100325		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Roma_20130101_Italy_395	SRA Sample SRR4074260 390	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Xilinguole_Meng_20101001_China_41	SRA Sample SRR3993056 41	20101001		43.95,116.35	43.95	116.35	Xilinguole Meng	China																haplotype called by gretel version 0.0.8	43.95 N 116.35 E
Independence_00000000_USA_1	74h.USA.NA.NA			37.09024,-95.712891	37.09024	-95.712891	Independence	USA														crAssphage_C 1-1238 (100%) aligns to NODE_100_length_17593_cov_10.4846 9319-10556 with 96.365% identity			
Lanzhou_Shi_20120101_China_39	SRA Sample ERR1018206 3	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Niederdorla_20101101_Germany_10	SRA Sample SRR2155309 10	20101101		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Helsinki_20160126_Finland_1	25.Finland.Helsinki.26-01-2016	20160126		60.16985569999999,24.9383791	60.16985569999999	24.9383791	Helsinki	Finland														crAssphage_C 1-1238 (100%) aligns to NODE_174_length_22452_cov_44.7808 4848-3611 with 98.384% identity			
Montreal_20101118_Canada_40	SRA Sample SRR2565925 40	20101118		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Roma_20130101_Italy_393	SRA Sample SRR4074260 388	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Vienna_20160204_Austria_1	70.Austria.Vienna.04-02-2016	20160204		48.2081743,16.3738189	48.2081743	16.3738189	Vienna	Austria														crAssphage_C 1-791 (64%) aligns to NODE_17578_length_2775_cov_109.464 1985-2775 with 97.092% identity			
Montreal_20091117_Canada_2	SRA Sample SRR2566037 2	20091117		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Courtaboeuf_Cedex_20050101_France_66	SRA Sample ERR479396 13	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	France																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_1077	SRA Sample SRR4074332 337	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_344	SRA Sample ERR321523 76	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_505	SRA Sample ERR321275 17	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Independence_20060105_USA_3	SRA Sample ERR318680 2	20060105		37.09024,-95.712891	37.09024	-95.712891	Independence	USA																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_224	SRA Sample SRR4074260 219	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma_20130101_Italy_639	SRA Sample SRR4074260 634	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Khartoum_20170421_Sudan_7	Mazankova primer C sample 300 20170421	20170421		15.5007,32.5599	15.5007	32.5599	Khartoum	Sudan				300											20160210		
Roma_20130101_Italy_790	SRA Sample SRR4074332 50	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Independence_20120705_USA_6	SRA Sample SRR2940946 1	20120705		37.09024,-95.712891	37.09024	-95.712891	Independence	USA																haplotype called by gretel version 0.0.8	
Courtaboeuf_Cedex_20050101_France_22	SRA Sample ERR479395 9	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	France																haplotype called by gretel version 0.0.8	
Kjellerup_20090101_Denmark_626	SRA Sample ERR525967 5	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Gatchinskiy_rayon_20160301_Russia_1	Tyakht Spb_73_13P_C primer C	20160301		59.57,30.18	59.57	30.18	Gatchinskiy rayon	Russia		Saint-Petersburg, Russia															
Montreal_20100305_Canada_1	SRA Sample SRR2566041 1	20100305		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Montreal_20100325_Canada_104	SRA Sample SRR2566056 104	20100325		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Lanzhou_Shi_20130101_China_11	SRA Sample ERR1578694 11	20130101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
